client_number,measurement_a,measurement_b,measurement_c,measurement_d,measurement_e,measurement_f,measurement_g
5,5253,1682.46,3.12,320.29,300.0,725.5,1022.36
8,6605,1905.35,3.47,288.47,258.71,736.13,1028.14
4,13082,2313.59,5.65,176.85,19.84,633.74,843.12
0,8132,2625.93,3.1,322.91,300.32,725.4,986.52
1,25239,2852.74,8.85,113.03,16.7,567.47,799.95
9,10862,3117.08,3.48,286.97,266.72,672.56,883.74
14,7085,5623.01,1.26,793.65,473.06,2417.74,2957.08
12,8762,7795.14,1.12,889.65,729.75,2508.75,2964.51
7,11070,8515.14,1.3,769.21,396.89,2430.4,2865.09
19,33805,8544.06,3.96,252.75,64.22,1640.41,2551.3
10,42208,9369.96,4.5,221.99,75.04,1388.04,2424.71
3,10224,10282.71,0.99,1005.74,903.77,2527.0,3021.26
13,14307,10506.03,1.36,734.33,300.98,2421.52,2860.65
